 Name                           Version          License                                                          
 Jinja2                         2.11.2           BSD License                                                      
 Markdown                       3.3.3            BSD License                                                      
 MarkupSafe                     1.1.1            BSD License                                                      
 Pillow                         8.0.0            Historical Permission Notice and Disclaimer (HPND)               
 PyWavelets                     1.1.1            MIT License                                                      
 PyYAML                         5.3.1            MIT License                                                      
 Pygments                       2.7.2            BSD License                                                      
 Send2Trash                     1.5.0            BSD License                                                      
 Werkzeug                       1.0.1            BSD License                                                      
 absl-py                        0.11.0           Apache Software License                                          
 appdirs                        1.4.4            MIT License                                                      
 argon2-cffi                    20.1.0           MIT License                                                      
 async-generator                1.10             Apache Software License; MIT License                             
 attrs                          20.3.0           MIT License                                                      
 backcall                       0.2.0            BSD License                                                      
 backports.functools-lru-cache  1.6.1            MIT License                                                      
 black                          19.10b0          MIT License                                                      
 bleach                         3.2.1            Apache Software License                                          
 cachetools                     4.2.0            MIT License                                                      
 certifi                        2021.5.30        Mozilla Public License 2.0 (MPL 2.0)                             
 cffi                           1.14.4           MIT License                                                      
 chardet                        3.0.4            GNU Library or Lesser General Public License (LGPL)              
 click                          7.1.2            BSD License                                                      
 cloudpickle                    1.6.0            BSD License                                                      
 cycler                         0.10.0           BSD                                                              
 cytoolz                        0.11.0           BSD License                                                      
 dask                           2.30.0           BSD                                                              
 dataclasses                    0.8              Apache Software License                                          
 decorator                      4.4.2            BSD License                                                      
 defusedxml                     0.6.0            Python Software Foundation License                               
 entrypoints                    0.3              MIT License                                                      
 flake8                         3.8.4            MIT License                                                      
 fsspec                         0.8.5            BSD License                                                      
 future                         0.18.2           MIT License                                                      
 google-auth                    1.24.0           Apache Software License                                          
 google-auth-oauthlib           0.4.2            Apache Software License                                          
 grpcio                         1.34.0           Apache Software License                                          
 idna                           2.10             BSD License                                                      
 imageio                        2.9.0            BSD License                                                      
 importlib-metadata             2.0.0            Apache Software License                                          
 ipykernel                      5.3.4            BSD License                                                      
 ipython                        7.16.1           BSD License                                                      
 ipython-genutils               0.2.0            BSD License                                                      
 jedi                           0.17.2           MIT License                                                      
 joblib                         0.17.0           BSD License                                                      
 jsonschema                     3.2.0            MIT License                                                      
 jupyter-client                 6.1.7            BSD License                                                      
 jupyter-core                   4.6.3            BSD License                                                      
 jupyter-tensorboard            0.2.0            MIT License                                                      
 jupyterlab-pygments            0.1.2            BSD                                                              
 kiwisolver                     1.3.1            BSD License                                                      
 matplotlib                     3.3.3            Python Software Foundation License                               
 mccabe                         0.6.1            MIT License                                                      
 mistune                        0.8.4            BSD License                                                      
 mkl-fft                        1.2.0            BSD                                                              
 mkl-random                     1.1.1            BSD                                                              
 mkl-service                    2.3.0            BSD                                                              
 mypy-extensions                0.4.3            MIT License                                                      
 nbclient                       0.5.1            BSD License                                                      
 nbconvert                      6.0.7            BSD License                                                      
 nbformat                       5.0.8            BSD License                                                      
 nest-asyncio                   1.4.3            BSD License                                                      
 networkx                       2.5              BSD License                                                      
 notebook                       6.1.5            BSD License                                                      
 numpy                          1.19.2           BSD                                                              
 oauthlib                       3.1.0            BSD License                                                      
 olefile                        0.46             BSD License                                                      
 opencv-python                  4.4.0.46         MIT License                                                      
 openslide-python               1.1.2            GNU Lesser General Public License v2 (LGPLv2)                    
 packaging                      20.8             Apache Software License; BSD License                             
 pandas                         1.1.3            BSD                                                              
 pandocfilters                  1.4.3            BSD License                                                      
 parso                          0.7.0            MIT License                                                      
